Name;Type;Source;Destination;LastRun;RowCount;LastChange;Created;RowNumber;IsLastRow
Sales_Document_Billing_Item_VBRP                                                                    ;TableJoin                                                                                           ;saperp                                                                                              ;json                                                                                                ;2019-02-18_10:54:17.644;48474;2019-03-11_08:40:20.764;2018-05-24_12:36:03.464;39;N
Sales_Document_Business_VBKD                                                                        ;TableJoin                                                                                           ;saperp                                                                                              ;redshift                                                                                            ;2019-02-18_10:58:03.559;12112;2019-02-18_10:57:27.622;2018-05-24_12:32:55.642;40;N
Sales_Document_Delivery_Header_LIKP                                                                 ;TableJoin                                                                                           ;saperp                                                                                              ;redshift                                                                                            ;2019-02-18_10:58:01.360;14162;2019-02-18_10:57:27.667;2018-05-24_12:34:26.786;41;N
Sales_Document_Delivery_Item_LIPS                                                                   ;TableJoin                                                                                           ;saperp                                                                                              ;json                                                                                                ;2019-02-18_10:57:53.064;22875;2019-03-11_08:40:20.943;2018-05-24_12:34:38.973;42;N
Sales_Document_Flow_VBFA                                                                            ;TableJoin                                                                                           ;saperp                                                                                              ;redshift                                                                                            ;2019-02-18_10:54:15.251;140090;2019-02-12_10:16:09.249;2018-05-24_12:32:40.541;43;N
Sales_Document_Header_VBAK                                                                          ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2019-03-05_08:29:11.907;500;2019-03-05_13:10:09.683;2018-05-24_12:31:48.338;44;N
Sales_Document_Item_VBAP                                                                            ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2018-12-18_11:56:10.114;0;2018-12-13_16:44:52.070;2018-05-24_12:31:35.031;45;N
Sales_Document_Schedule_Line_VBEP                                                                   ;TableJoin                                                                                           ;saperp                                                                                              ;json                                                                                                ;2019-02-18_10:57:50.907;24500;2019-03-11_08:40:20.889;2018-05-24_12:32:19.823;46;N
SAPBWSalesDemo                                                                                      ;BWCube                                                                                              ;sapbw                                                                                               ;http-csv                                                                                            ;2019-03-05_08:36:32.075;348;2019-03-05_13:10:09.647;2019-02-21_13:50:35.275;47;N
SAPCompanyCodes                                                                                     ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2018-12-04_09:40:06.615;38;2019-03-05_13:10:09.629;2018-11-29_14:23:47.525;48;N
SAPCustomers                                                                                        ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2019-03-11_10:22:51.025;20;2019-03-05_13:10:09.569;2019-02-28_08:41:56.346;49;N
SAPCustomersPDI                                                                                     ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2019-03-06_06:45:08.066;20;2019-03-05_14:27:49.368;2019-03-05_14:27:49.368;50;N
SAPCustomersToSQL                                                                                   ;TableJoin                                                                                           ;saperp                                                                                              ;sql_staging                                                                                         ;2019-03-05_14:23:52.710;10;2019-02-25_10:46:30.669;2019-02-25_08:56:58.240;51;N
Storage_Location_T001L                                                                              ;TableJoin                                                                                           ;saperp                                                                                              ;http-csv                                                                                            ;2019-02-26_09:00:09.741;4284;2019-02-26_09:00:06.199;2019-02-26_09:00:06.199;52;N
testbw                                                                                              ;BWCube                                                                                              ;sapbw                                                                                               ;http-csv                                                                                            ;;;;;53;N
zdemo                                                                                               ;Table                                                                                               ;bw4hana                                                                                             ;sqlserverlocal                                                                                      ;2019-02-25_09:26:40.138;10;2019-03-05_13:05:05.107;2019-02-12_09:30:15.836;54;N
